ISO-3 Code,Country name,ODW Region Code,ODW Region Name,OECD Member,UN M49 Code,UN M49 Region Code,World Bank  Income Code (June 2019),World Bank Lending Code  (June 2019),World Bank Income Group Name,World Bank (All income) region code,World Bank (All Income) Region Names,World Bank (Developing only) Region Code,World Bank (Developing Only) Region Name,See notes,,
ZAF,South Africa,AFZ,Southern Africa,,710,018,UMC,IBRD,Upper middle income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
SSD,South Sudan,AFE,Eastern Africa,,728,014,LIC,IDA,Low income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
ESP,Spain,EUZ,Southern Europe,OECD,724,039,HIC,..,High income,ECS,Europe & Central Asia,..,,,,
LKA,Sri Lanka,ASZ,Southern Asia,,144,034,UMC,IBRD,Upper middle income,SAS,South Asia,SAS,South Asia,,,
KNA,St. Kitts and Nevis,AMC,Caribbean,,659,029,HIC,IBRD,High income,LCN,Latin America & Caribbean,..,,,,
LCA,St. Lucia,AMC,Caribbean,,662,029,UMC,Blend,Upper middle income,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),,,
MAF,St. Martin,AMC,Caribbean,,663,029,HIC,..,High income,LCN,Latin America & Caribbean,..,,,,
VCT,St. Vincent & Grenadines,AMC,Caribbean,,670,029,UMC,Blend,Upper middle income,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),,,
SDN,Sudan,AFN,Northern Africa,,729,015,LMC,IDA,Lower middle income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
SUR,Suriname,AMZ,South America,,740,005,UMC,IBRD,Upper middle income,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),,,
SJM,Svalbard and Jan Mayen Islands,EUN,Northern Europe,,744,154,,,,,,,,,,
SWE,Sweden,EUN,Northern Europe,OECD,752,154,HIC,..,High income,ECS,Europe & Central Asia,..,,,,
CHE,Switzerland,EUW,Western Europe,OECD,756,155,HIC,..,High income,ECS,Europe & Central Asia,..,,,,
SYR,Syrian Arab Republic,ASW,Western Asia,,760,145,LIC,IDA,Low income,MEA,Middle East & North Africa,MNA,Middle East & North Africa (excluding high income),,,
TWN,"Taiwan, Republic of China",ASF,Eastern Asia,,..,,HIC,..,High income,EAS,East Asia & Pacific,..,,,,
TJK,Tajikistan,ASC,Central Asia,,762,143,LIC,IDA,Low income,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),,,
TZA,Tanzania,AFE,Eastern Africa,,834,014,LIC,IDA,Low income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
THA,Thailand,ASE,South­Eastern Asia,,764,035,UMC,IBRD,Upper middle income,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),,,
TLS,Timor-Leste,ASE,South­Eastern Asia,,626,035,LMC,Blend,Lower middle income,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),,,
TGO,Togo,AFW,Western Africa,,768,011,LIC,IDA,Low income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
TKL,Tokelau,OPY,Polynesia,,772,061,,,,,,,,,,
TON,Tonga,OPY,Polynesia,,776,061,UMC,IDA,Upper middle income,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),,,
TTO,Trinidad and Tobago,AMC,Caribbean,,780,029,HIC,IBRD,High income,LCN,Latin America & Caribbean,..,,,,
TUN,Tunisia,AFN,Northern Africa,,788,015,LMC,IBRD,Lower middle income,MEA,Middle East & North Africa,MNA,Middle East & North Africa (excluding high income),,,
TUR,Turkey,ASW,Western Asia,OECD,792,145,UMC,IBRD,Upper middle income,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),,,
TKM,Turkmenistan,ASC,Central Asia,,795,143,UMC,IBRD,Upper middle income,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),,,
TCA,Turks and Caicos Islands,AMC,Caribbean,,796,029,HIC,..,High income,LCN,Latin America & Caribbean,..,,,,
TUV,Tuvalu,OPY,Polynesia,,798,061,UMC,IDA,Upper middle income,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),,,
VIR,U. S. Virgin Islands,AMC,Caribbean,,850,029,HIC,..,High income,LCN,Latin America & Caribbean,..,,,,
UGA,Uganda,AFE,Eastern Africa,,800,014,LIC,IDA,Low income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
UKR,Ukraine,EUE,Eastern Europe,,804,151,LMC,IBRD,Lower middle income,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),,,
ARE,United Arab Emirates,ASW,Western Asia,,784,145,HIC,..,High income,MEA,Middle East & North Africa,..,,,,
GBR,United Kingdom,EUN,Northern Europe,OECD,826,154,HIC,..,High income,ECS,Europe & Central Asia,..,,,,
USA,United States,AMN,North America,OECD,840,021,HIC,..,High income,NAC,North America,..,,,,
URY,Uruguay,AMZ,South America,,858,005,HIC,IBRD,High income,LCN,Latin America & Caribbean,..,,,,
UZB,Uzbekistan,ASC,Central Asia,,860,143,LMC,Blend,Lower middle income,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),,,
VUT,Vanuatu,OME,Melanesia,,548,054,LMC,IDA,Lower middle income,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),,,
VEN,Venezuela,AMZ,South America,,862,005,UMC,IBRD,Upper middle income,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),,,
VNM,Vietnam,ASE,South­Eastern Asia,,704,035,LMC,IBRD,Lower middle income,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),,,
WLF,Wallis and Futuna,OPY,Polynesia,,876,061,,,,,,,,,,
ESH,Western Sahara,AFN,Northern Africa,,732,015,,,,,,,,,,
YEM,Yemen,ASW,Western Asia,,887,145,LIC,IDA,Low income,MEA,Middle East & North Africa,MNA,Middle East & North Africa (excluding high income),,,
ZMB,Zambia,AFE,Eastern Africa,,894,014,LMC,IDA,Lower middle income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
ZWE,Zimbabwe,AFE,Eastern Africa,,716,014,LMC,Blend,Lower middle income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
,,,,,,,,,,,,,,,,
Additional countries or territories,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,HIC,81,,,,,,,,,
,,,,,,UMC,56,,,,,,,,,
,,,,,,LMC,47,,,,,,,,,
 .. No code assigned,,,,,,LIC,34,,,,,,,,,
1/ World Bank country code for Democratic Republic of Congo is ZAR.,,,,,,,,,,,,,,,,
2/ Kosovo does not have a country code assigned by ISO and is not included in the UN M49 country list. The ODW code KSV is adopted from the World Bank.,,,,,,,,,,,,,,,,
3/ World Bank country code for Romania is ROM.,,,,,,,,,,,,,,,,
4/ Sark (UN country code 680) does not have a unique ISO code. It is included in ISO code GGY (Guernsey). The ODW code GGS is assigned to Sark to maintain alignment with the UN system,,,,,,,,,,,,,,,,
5/ Country name of Swaziland changed to Eswatini.,,,,,,,,,,,,,,,,
